codpro;Provincia;departamentos;codmun;Municipio;IPU;grupo;clase;Bogotá, D.C.;Medellín;Barranquilla;Cali;Cúcuta;Cartagena;Manizales;Pereira;Bucaramanga;Armenia;Santa Marta;Villavicencio;Ibagué;Sincelejo;Mosquera;San Andrés;Valledupar;Zipaquirá;Montería;Sabanalarga;Neiva;Pasto;Girardot;Tuluá;Cartago;Tunja;Buenaventura;Sogamoso;Barrancabermeja;Fusagasugá;Popayán;Rionegro;Magangué;Aguachica;Florencia;Chiquinquirá;Yopal;Riohacha;La Dorada;Campo de La Cruz;Sevilla;Apartadó;Fonseca;El Carmen de Bolívar;Quibdó;Mariquita;Ocaña;Pamplona;Caucasia;Santander de Quilichao;Arauca;Lorica;Fundación;Bosconia;Montelíbano;Plato;Melgar;La Jagua de Ibirico;Anserma;San Gil;Juan de Acosta;Ipiales;Pitalito;Sahagún;Santiago de Tolú;Saravena;Villa de San Diego de Ubate;Puerto Boyacá;El Banco;Leticia;San Andrés de Tumaco;Providencia;Garzón;Andes;Granada;Puerto Asís;Líbano;Yarumal;Segovia;Aguadas;Tierralta;Mompós;Jericó;Mocoa;Pivijay;Riosucio;La Plata;San Marcos;Socorro;Villeta;Guamo;La Mesa;Málaga;Istmina;San Pablo;Garagoa;Barbosa;Manzanares;Sonsón;Chocontá;Moniquirá;Urrao;San Rafael;Santafé de Antioquia;Puerto Carreño;Belén de Umbría;Chaparral;Paz de Ariporo;Chinácota;Guaduas;Tibú;San José del Guaviare;Puerto Gaitán;La Unión;Pacho;Soatá;Túquerres;San Martín de Loba;San Vicente del Caguán;Caqueza;Cimitarra;Majagual;San Bernardo del Viento;Olaya Herrera;Miraflores;Barranca de Upía;Belén;Muzo;Barbacoas;Guasca;Patía;Ramiriquí;Guapi;Dabeiba;Riosucio;Salazar;Puerto Rondón;Bahía Solano;San Juan de Río Seco;Inírida;Achí;El Cocuy;Manaure;Silvia;Bajo Baudó;Curillo;Mitú;Leguízamo;Labranzagrande;La Primavera
670;Alto Magdalena;Cundinamarca, Tolima;25307;Girardot;58,76288813;Intermedia;Periurbana;41,2;;;;;;13,8;13,5;;12,7;;8,9;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;17,7;;;;;;;;19,8;20,5;;;;;21,5;;;;23,2;;;;;;;;;;24,8;;;25,3;25,3;25,4;;;;27,5;;28;;29;;;;;;30,8;30,8;;;31,5;;;;;33,2;;;;;34,4;34,6;;;;;;;;;38,6;;38,8;;;;;;;42,5;;;;;;;;;;;
1350;Centro;Valle del Cauca;76834;Tuluá;57,60119713;Intermedia;Periurbana;;;;25,7;;;14,9;14,7;;13,9;;;9,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,8;;16,6;;;;;;;;;;;;;;;;;;;;;;;;23,2;;;23,6;;;;;24,2;;;;;;;26,9;;;;;;;;29,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,4;;;;;;
1360;Norte;Valle del Cauca;76147;Cartago;56,93407183;Intermedia;Periurbana;;35,2;;26,3;;;15,6;15,3;;14,5;;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,2;;15,9;;;;;;;;;;;;;;;20,2;;;;;;22,3;;;22,5;;;23;;;;;23,5;;;24,5;;;;26,2;;;;;;28,1;;28,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43,7;;;;;;
240;Centro;Boyacá;15001;Tunja;56,86466556;Intermedia;Cercana a Metropolitana;43,1;;;;;;;;;;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,1;;;16,1;;;;;;;17,9;;;;;;;;;;;;;;;;;;;;;;23,3;23,4;23,4;23,5;24;;;25,6;26;;;27,1;27,2;;;;;;;;;29,6;;;;;31,3;31,4;;;;32,5;32,7;;;;34,8;34,9;35,9;36,6;;36,7;;36,9;;;;;;;40,6;;;;;;;;;;51,3;
1370;Buenaventura;Valle del Cauca;76109;Buenaventura;56,70616587;Intermedia;Cercana a Metropolitana;;;;26,6;;;15,8;15,6;;14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;22,7;;;;;;;;;;;;;;;;;;;;28,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43,5;;;;;;
340;Sugamuxi-Tundama;Boyacá;15759;Sogamoso;55,43914922;Intermedia;Cercana a Metropolitana;44,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,7;;;14,6;;;;;;;16,5;;;;;;;;;;;;;;;;;;;;;;21,8;22;;22,1;22,6;;;24,2;24,6;;;25,7;25,8;;;;;;;27,8;;28,2;;;;;29,9;29,9;;;;31,1;31,3;;;;33,4;;34,5;35,2;;35,3;;35,5;;;;;;;39,2;;;41,5;;;;;;;49,9;
1210;Mares;Santander;68081;Barrancabermeja;54,29012893;Intermedia;Cercana a Urbana;;;;;;;;;17,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,8;;13,5;;;;;;;;16;16,3;;;;;;;;;;;;;19,7;;;;;;;20,7;20,9;;;;;;;23,4;;;;24,7;;;;;;;;;27;;;;;;;;;;;30,2;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;
780;Sumapaz;Cundinamarca;25290;Fusagasugá;53,59785398;Intermedia;Perimetropolitana;46,4;;;;;;;18,7;;17,9;;14;13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,8;;;;;;;;;;14,6;15,3;;;;;;;16,9;;18;;;;;;;;;;;;;20,2;20,2;20,2;;;;22,3;22,7;22,8;;23,9;24;;;;;;25,6;;;26,3;;;;;28;;;;;29,2;;;;;;;32,7;;;33,4;;33,6;;;;;;;37,3;;;;;;;;;;;
450;Centro;Cauca;19001;Popayán;53,11369122;Intermedia;Cercana a Metropolitana;;;;30,1;;;;19,2;;18,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,4;;;;;;;;;;15,9;;;;;;;;;;;;;;19,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,1;;;;;;;;;;;;;39,9;;;;;;
70;Oriente Próximo;Antioquia;5615;Rionegro;52,03584311;Intermedia;Perimetropolitana;;40,1;;;;;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;13,8;;;;;;15,3;;;;17,1;17,2;17,4;;;17,6;;;18,1;;;;;;;;;;;;;22,1;;;22,7;23,1;23,2;;;;;;24,8;;;;;;;;;;;27,9;;;;;;;;;;;;;32,1;;;;;;;;;;;;;;;;
1270;Sabanas;Bolívar, Sucre;13430;Magangué;51,95050222;Intermedia;Periurbana;;;39,3;;;24,1;;;;;16,9;;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;10,1;10,2;;10,4;;;11,7;;;12,3;12,9;;;;14;;;;;;;;;;;;17,3;17,4;;;17,8;;;18,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,4;28,6;;;;;;;;;;;;;;;;;;36,9;;;;;;;;;
